,episode,phi,phi_velocity,psi,psi_velocity,reward,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,theta,theta_velocity,time,x,x_velocity,y,y_velocity,z,z_velocity
0,1,4.534281375878635e-05,0.002225977506847401,0.0,0.0,0.27084803184445494,449.9722484889404,450.36095890444705,450.07067564574373,450.25075092490516,9.994352321029965e-05,0.0048050262222174905,0.06,-9.367661124843062e-08,-8.742632656552835e-06,3.951096097880245e-08,3.816960431413982e-06,0.004273374582232744,0.1424379436183401
1,1,0.00013697762008391123,9.171304868799601e-05,0.0,0.0,0.7101203237248932,450.74009676210204,450.21098703877595,450.3605290441193,450.1878668690119,0.0002645117116086837,-0.0017387937058603725,0.12000000000000001,-3.906305573884555e-06,-0.00014326982046063372,1.7749889512822693e-06,6.627534035847316e-05,0.017110757881993427,0.28544919187966944
2,1,0.0003179531654868839,0.008303744076855524,0.0,0.0,1.1370243842423653,450.58805900339235,450.4610927435406,450.04616044238276,450.71019023546535,0.00012917390723821143,-0.003309950364105348,0.18,-1.7860661598650517e-05,-0.00030889944335659976,8.959711831161822e-06,0.00018392293536767664,0.03852981882579772,0.42847608596028375
3,1,0.0016841876612945228,0.042153828613545656,0.0,0.0,1.5045850492088388,451.03276763718816,450.844488693632,449.09105723770756,451.82799023793797,6.283070150579157,-0.005642034791533759,0.23999999999999996,-3.838994313586973e-05,-0.00035143661813478446,3.033225760758807e-05,0.0006399192364305957,0.06854468525100044,0.571957964567924
4,1,0.08005737837970717,0.6593229234474198,0.0,0.0,3.0,494.2061395339274,320.6748376742815,433.36537197272236,482.5390870986282,0.5828927208111176,-1.9376669557084745,0.3,-0.0024001152818912256,-0.1388242992354311,0.0003545256050384631,0.01695442055928576,0.10560348569780986,0.6507497889400717
5,1,0.11974951066565787,0.6656072439794725,0.0,0.0,3.0,451.38710463154877,441.32399582514563,447.28064817863674,448.25229504779344,0.4660417404897981,-2.010031594770563,0.36000000000000004,-0.022222724519622646,-0.5112549821946875,0.0029687841417725875,0.07436960101642955,0.14518850858066193,0.6746817516917252
6,1,0.15946264564302304,0.6532094740885361,0.0,0.0,3.0,452.92799437165473,434.50342027299996,446.35938536398345,445.80945984474494,0.34673975698012516,-2.177927757366477,0.4200000000000001,-0.062080663042058344,-0.8060523696561002,0.009877003184516151,0.16035559638221658,0.18712977826158494,0.7278185256595753
7,1,0.19885343636384167,0.6623838415229923,0.0,0.0,3.0,452.13816951199703,438.3738610164158,445.59034450016765,446.79412307980726,0.21575112745087743,-2.2813265107985354,0.48000000000000015,-0.11724682448896995,-1.0197696502072795,0.022867976811164918,0.2772674558574225,0.23315398526921788,0.8096014114473898
8,1,0.24134660170684175,0.744020644327009,0.0,0.0,3.0,450.9899809276137,444.6691553246056,443.7389130360787,450.8886261931596,0.07870966170657479,-2.289918263788515,0.5400000000000001,-0.1825450789535369,-1.1425502002311136,0.043845370197159374,0.42676401886328724,0.28479557459028043,0.913252066519751
9,1,0.3034012044419194,1.0125314131867076,0.0,0.0,3.0,451.81334392450856,448.5522736815053,435.59066284889985,458.2186034014346,6.225215285571505,-2.2613433188547414,0.6000000000000002,-0.25230147553976684,-1.1680988438969453,0.07484448799864671,0.6128004119523608,0.3428798204220348,1.021738016489234
10,1,0.44893835127514503,1.6678650648782236,0.0,0.0,3.0,499.40290297315266,319.90364961752704,429.3617605862964,483.2960771840346,0.3714152049450057,-4.164254113379854,0.6600000000000003,-0.3230870255793581,-1.2381169854005478,0.1182344714963425,0.8448539482641517,0.40597605467428294,1.0716007130152132
11,1,0.5751910686633943,2.0081547397082162,0.0,0.0,3.0,455.71699242174907,444.97215989365225,426.4636175767971,457.96052856159355,0.12497697825378484,-4.069944596144158,0.7200000000000003,-0.4042037042103777,-1.4410404806841721,0.17807943413784513,1.1643352779819318,0.47055971274718,1.0818424657322065
12,1,0.7583426917227447,2.5634762945760246,0.0,0.0,3.0,459.87134865651194,445.6160480783758,417.57507321366654,468.5053151499674,6.165107363043013,-4.028324307852572,0.7800000000000004,-0.4924493962367228,-1.4749590299174349,0.26013730618387837,1.5868549173625082,0.5353550950661521,1.0678359675754923
13,1,0.986143669622134,3.1714504281174176,0.0,0.0,3.0,503.66406021875196,317.1687256543529,428.17287723023935,484.8334066975745,0.14975437210350595,-5.838469293446732,0.8400000000000004,-0.5798866121019578,-1.470616505577095,0.3700295551787559,2.090566897046044,0.596061925902938,0.9383257890320292
14,1,1.3093683543851373,4.005147147551138,0.0,0.0,3.0,468.8610648362629,292.75254022359877,348.15165522394665,439.9625837040371,0.059406068363959896,-7.14970780967885,0.9000000000000005,-0.6704712830140374,-1.5440718536840519,0.5093035248549368,2.5635141642426564,0.6427493590260103,0.5955215436535413
15,1,1.9075304034511653,5.409377738576037,0.0,0.0,2.4928053184582857,477.2285286940864,448.2265159411873,377.7126535178272,514.4221004092066,5.934175727518559,-6.855817921299182,0.9600000000000005,-0.7628535507045223,-1.4917553978713656,0.6845414432204645,3.279156926517446,0.6641048181646082,0.052724920150680143
16,1,2.239556813161567,5.127227461803077,0.0,0.0,2.672717043872918,487.8815245202636,284.69260813991826,425.650050696655,433.6101880637849,5.835183717284654,-8.28667041099034,1.0200000000000005,-0.8462838023907037,-1.284414041712484,0.8969737877836248,3.7878375344148743,0.6430702855515407,-0.7778518465130188
