time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.55617280877e-07,-9.84661201922e-08,10.0072623729,6.28303589211,0.000139490989775,0.0,-1.42174425815e-05,-1.18178499607e-05,0.242058503251,-0.00800517000535,0.0066107138039,0.0,479.9380533849176,480.43940224544446,479.8415831677642,479.2336538642819
0.12000000000000001,-5.79356057911e-06,-6.01416877844e-06,10.0256953413,6.28223986616,0.00072527259071,0.0,-0.000226706793264,-0.000250222028698,0.372339595604,-0.0267043596962,0.0154208716347,0.0,445.85750324465806,446.576478486927,447.5121079880733,445.9877686190809
0.18,-3.85386583263e-05,-4.69112220895e-05,10.0518287395,6.28121266284,0.00139136486354,0.0,-0.000950957500222,-0.00124713828507,0.498726122479,-0.00273885000046,0.00064300473207,0.0,445.76670577485726,444.5575490065748,444.57625806496685,446.5352694631324
0.23999999999999996,-0.000125717147651,-0.000164809469519,10.0857003183,6.28125039963,0.00119716637898,0.0,-0.00194812045345,-0.00268864886887,0.630262619937,0.00663308642349,-0.0124180396997,0.0,447.79233828761085,446.72881293943976,446.5074437056477,447.2712435536767
0.3,-0.00026375682771,-0.000363497886171,10.1258905992,6.28139025346,0.000145153494969,0.0,-0.00256696777855,-0.00390582932733,0.709367319072,-0.00807746180168,-0.0304832756874,0.0,430.68449390658316,429.1540763456133,431.9888612274118,430.7467840186703
0.36000000000000004,-0.000415662804881,-0.000639757388721,10.173015691,6.28086987269,6.28276468504,0.0,-0.00238433506651,-0.00535772493145,0.861366338318,-0.00989155906364,0.0152483237328,0.0,451.9149260610583,455.585656983527,453.58910875876904,453.4435408737366
0.4200000000000001,-0.00055365353135,-0.0010114062816,10.2278377148,6.28052450982,0.000657200050001,0.0,-0.00231818449095,-0.00707747612801,0.965951396252,0.00144438932801,0.0229055143803,0.0,439.03331011413337,439.66803020004426,438.42083756419487,439.3616598805402
0.48000000000000015,-0.000710364549534,-0.00148721623744,10.2874838802,6.28062199019,0.00166415208921,0.0,-0.00302329054759,-0.00877393179076,1.02220508973,0.00198285040692,0.000266100101562,0.0,424.8414304422138,422.89601667539165,423.6123430634389,423.6586028070785
0.5400000000000001,-0.000929217503602,-0.00207061628914,10.3536457885,6.28026913126,0.00132409099167,0.0,-0.00425794241211,-0.0106756959151,1.18303906668,-0.030286603849,-0.0214744972507,0.0,457.62592407097475,455.89238148748643,458.22991553949623,455.6578015273026
0.6000000000000002,-0.0012100401581,-0.00278548998346,10.4298244453,6.27845763175,0.000450883877969,0.0,-0.00498374060453,-0.0133574762039,1.35605962374,-0.0300024738602,-0.00342634422835,0.0,459.9618280018692,461.3888676910894,461.06909879089335,461.0912855276155
0.6600000000000003,-0.0015170417105,-0.00368572141513,10.5130558589,6.27670804986,6.08270475615e-05,0.0,-0.00522171974585,-0.0168209086545,1.4182445764,-0.0275255537342,-0.0134951973716,0.0,426.5390756005214,425.6784974518195,426.95559232562806,427.1665547499768
0.7200000000000003,-0.00182850384265,-0.00483358850559,10.6011273992,6.27598365759,6.28243076024,0.0,-0.00507759601202,-0.0215506659747,1.51734611586,0.00819648811345,-0.0137789701377,0.0,438.788099708044,438.76465572720883,436.9711867985111,439.938685523184
0.7800000000000004,-0.00211232788008,-0.00629206535752,10.6977610907,6.27622568166,6.2818388062,0.0,-0.00430315106344,-0.0270193909397,1.70351852487,-0.00596316843969,-0.00300673584065,0.0,465.1584242802578,466.0012845054149,466.3054583206042,465.1980664374628
0.8400000000000004,-0.00233998223404,-0.00807042396221,10.804706589,6.27541070788,6.28196833347,0.0,-0.0032846180064,-0.0323136396173,1.86108784968,-0.0366882474954,0.0108828289837,0.0,457.24388293121564,458.3489622139317,458.6264704771415,456.17979077710953
0.9000000000000005,-0.00251336229977,-0.010186883678,10.9204383651,6.27275735905,6.28274262069,0.0,-0.00257177214171,-0.038485254252,1.99640931275,-0.0668812500815,0.0166695701628,0.0,451.2425464977311,451.70929256744535,452.36816800042027,449.9291334991974
0.9600000000000005,-0.00266216549612,-0.012730759569,11.0435998591,6.2689733162,0.000286932765297,0.0,-0.00248027364532,-0.0467121226543,2.10876828226,-0.056364618119,0.00112946833607,0.0,445.16468951911617,443.8912238841261,444.392515928132,445.2507568828046
1.0200000000000005,-0.00281777960521,-0.0158750922996,11.1754825536,6.26546047228,9.14199752113e-05,0.0,-0.00270165996536,-0.0584849274718,2.28697603838,-0.0633133545355,-0.0139234237688,0.0,465.64952654878107,464.47059814480934,465.7344672392971,465.188454760893
1.0800000000000005,-0.00297869311704,-0.0197235660048,11.3134538526,6.26157638358,6.2824077749,0.0,-0.00258467342835,-0.070145648292,2.31200966596,-0.0677395427089,-0.0156248427424,0.0,417.59003643730586,417.4416912704528,418.07261688722076,417.6834123135262
1.1400000000000006,-0.00311209057941,-0.0244631754268,11.4582588981,6.25764197933,6.28207626238,0.0,-0.00179408582975,-0.0882999269217,2.51439095866,-0.0615612356518,0.00943943611571,0.0,472.18527845755983,474.1149098388822,473.17000473259395,473.6424747389714
1.2000000000000006,-0.00319712969984,-0.030349956743,11.6139069392,6.25390990288,6.2823164142,0.0,-0.00108908216941,-0.108327796137,2.67350656432,-0.0635124817701,-0.0100313160399,0.0,461.9144813415894,460.3764496286372,461.4866406487485,461.3299672844802
